Normal,Foil,Name,Set,Card Number,Color,Rarity,Price,Foil Price
0,0,"Goofy - Musketeer",P1,12,Amber,Promo,"$66.27",
0,0,"Heihei - Boat Snack",P1,9,Amber,Promo,"$2.59","$2.59"
0,0,"Invited to the Ball",C1,006,Amber,Promo,,
0,0,"Kristoff - Reindeer Keeper",P2,002,Amber,Promo,"$6.57","$6.57"
0,2,"Lady - Decisive Dog",P2,028,Amber Emerald,Promo,,
0,0,"Lilo - Escape Artist",P2,025,Amber,Promo,"$3.01","$3.01"
0,0,"Mickey Mouse - Friendly Face",P1,18,Amber,Promo,"$4.27","$4.27"
0,0,"Mickey Mouse - Leader of the Band",P1,034,Amber,Promo,"$0.57","$0.57"
0,0,"Mickey Mouse - True Friend",P1,25,Amber,Promo,"$44.51","$44.51"
0,0,"Mickey Mouse - True Friend",P2,015,Amber,Promo,"$51.23",
0,2,"Minnie Mouse - Daring Defender",P2,035,Amber Ruby,Promo,,
0,0,"Mirabel Madrigal - Family Gatherer",P2,007,Amber,Promo,"$21.91","$21.91"
0,0,"Nala - Mischievous Cub",P2,003,Amber,Promo,"$0.53","$0.53"
0,4,"Patch - Playful Pup",P2,030,Amber Sapphire,Promo,,
0,2,"Perdita - Playful Mother",P2,021,Amber Sapphire,Promo,"$0.66","$0.66"
0,0,"Pluto - Tried and True",P2,027,Amber Steel,Promo,,
0,0,"Rapunzel - Gifted Artist",P1,31,Amber,Promo,"$37.51","$37.51"
0,0,"Rapunzel - Gifted with Healing",C1,004,Amber,Promo,"$136.04","$3,249.99"
0,0,"Rescue Rangers Away!",P2,010,Amber,Promo,"$0.26","$0.26"
0,0,"Snow White - Fairest in the Land",P2,023,Amber,Promo,"$0.43","$0.43"
0,0,"Stitch - Rock Star",P1,2,Amber,Promo,"$634.13","$634.13"
0,0,"Stitch - Rock Star",P1,30,Amber,Promo,"$331.50","$331.50"
0,0,"Vanellope von Schweetz - Sugar Rush Princess",D23,005,Amber,Promo,"$15.15","$15.15"
0,0,"Anna - Ice Breaker",P2,019,Amethyst Sapphire,Promo,,
0,0,"Bruno Madrigal - Undetected Uncle",D23,004,Amethyst,Promo,"$15.89","$15.89"
0,0,"Elsa - Gloves Off",P1,19,Amethyst,Promo,"$8.94","$8.94"
0,0,"Elsa - Snow Queen",P1,3,Amethyst,Promo,,
0,0,"Elsa's Ice Palace - Place of Solitude",C1,007,Amethyst,Promo,,
0,0,"Finders Keepers",P2,004,Amethyst,Promo,"$1.57","$1.57"
0,0,"Flotsam & Jetsam - Entangling Eels",P1,040,Amethyst,Promo,"$2.51","$2.51"
0,0,"Jafar - High Sultan of Lorcana",P2,032,Amethyst Steel,Promo,,
0,1,"Kronk - Laid Back",P2,020,Amethyst Emerald,Promo,"$0.43","$0.43"
0,0,"Pinocchio - Talkative Puppet",P1,32,Amethyst,Promo,"$18.93","$18.93"
0,2,"Pull the Lever!",P2,031,Amethyst Emerald,Promo,,
0,0,"Ursula - Sea Witch Queen",P1,038,Amethyst,Promo,"$82.37","$82.37"
0,0,"Ursula's Lair - Eye of the Storm",P1,035,Amethyst,Promo,"$0.46","$0.46"
0,0,"Yzma - Alchemist",P1,10,Amethyst,Promo,"$1.55","$1.55"
0,0,"Bucky - Squirrel Squeak Tutor",P1,15,Emerald,Promo,"$1.02","$1.02"
0,0,"Cruella de Vil - Miserable As Usual",P1,4,Emerald,Promo,,
0,0,"Genie - Powers Unleashed",P1,20,Emerald,Promo,"$3.88","$3.88"
0,0,"Hidden Inkcaster",P1,036,Emerald,Promo,"$0.37","$0.37"
0,0,"Hiro Hamada - Armor Designer",P2,024A,Emerald Sapphire,Promo,"$0.61",
0,0,"Hiro Hamada - Armor Designer",P2,024B,Emerald Sapphire,Promo,"$20.53","$20.53"
0,0,"Honey Lemon - Chemical Genius",P2,011,Emerald,Promo,"$0.41","$0.41"
0,0,"Kit Cloudkicker - Tough Guy",P1,026,Emerald,Promo,"$1.16","$1.16"
0,0,"Kuzco - Temperamental Emperor",C1,008,Emerald,Promo,"$28.36",
0,0,"Stitch - Alien Buccaneer",P2,008,Emerald,Promo,"$3.07","$3.07"
0,0,"Ursula - Deceiver",D23,003,Emerald,Promo,"$50.97","$50.97"
0,0,"Aladdin - Intrepid Commander",P2,009,Ruby,Promo,"$18.12","$18.12"
0,0,"Dragon Fire",C1,001,Ruby,Promo,"$28.10","$28.10"
0,0,"Gaston - Arrogant Hunter",P1,24,Ruby,Promo,"$50.21","$50.21"
0,0,"Jolly Roger - Hook's Ship",P1,027,Ruby,Promo,"$0.44","$0.44"
0,2,"Li Shang - Newly Promoted",P2,022,Ruby Steel,Promo,"$0.56","$0.56"
0,0,"Maleficent - Monstrous Dragon",P1,5,Ruby,Promo,"$1,249.00","$1,249.00"
0,0,"Mickey Mouse - Brave Little Tailor",P1,1,Ruby,Promo,,
0,0,"Mickey Mouse - Brave Little Tailor",D23,001,Ruby,Promo,"$37.16","$37.16"
0,0,"Mickey Mouse - Pirate Captain",P2,018,Ruby,Promo,"$10.52","$10.52"
0,0,"Minnie Mouse - Pirate Lookout",P2,012,Ruby,Promo,"$0.64","$0.64"
0,0,"Minnie Mouse - Wide-Eyed Diver",P1,16,Ruby,Promo,"$0.77","$0.77"
0,0,"Mulan - Enemy of Entanglement",P1,037,Ruby,Promo,"$0.50","$0.50"
0,0,"Scar - Heartless Hunter",P2,014,Ruby,Promo,"$23.15","$23.15"
0,0,"Stitch - Abomination",P1,21,Ruby,Promo,"$12.58","$12.58"
0,3,"Aladdin - Vigilant Guard",P2,029,Sapphire Steel,Promo,,
0,0,"Baymax - Armored Companion",C1,009,Sapphire,Promo,"$54.69",
0,0,"Chicha - Dedicated Mother",P2,005,Sapphire,Promo,"$1.04","$1.04"
0,0,"Four Dozen Eggs",P1,33,Sapphire,Promo,"$20.99","$20.99"
0,0,"How Far I'll Go",P1,028,Sapphire,Promo,"$2.82","$2.82"
0,0,"Let It Go",C1,002,Sapphire,Promo,"$897.59","$897.59"
0,0,"Maleficent - Uninvited",P1,22,Sapphire,Promo,"$1.82","$1.82"
0,0,"Mickey Mouse - Detective",P1,8,Sapphire,Promo,"$2.88","$2.88"
0,0,"Oswald - The Lucky Rabbit",D23,006,Sapphire,Promo,"$45.76","$45.76"
0,0,"Prince John - Gold Lover",P2,001,Sapphire,Promo,"$11.66","$11.66"
0,0,"Robin Hood - Unrivaled Archer",P1,6,Sapphire,Promo,,
0,0,"Scrooge McDuck - Uncle Moneybags",P1,039,Sapphire,Promo,"$12.03","$12.03"
0,0,"Vaiana - Adventurer of Land and Sea",P2,026,Sapphire,Promo,"$2.42","$2.42"
0,0,"Wasabi - Methodical Engineer",P2,013,Sapphire,Promo,"$0.34","$0.34"
0,0,"A Whole New World",C1,010,Steel,Promo,,
0,0,"Captain Hook - Forceful Duelist",P1,7,Steel,Promo,"$0.25","$0.25"
0,0,"Cinderella - Knight in Training",P1,14,Steel,Promo,"$0.49","$0.49"
0,0,"Cinderella - Stouthearted",C1,003,Steel,Promo,"$133.33","$991.12"
0,0,"Cinderella - Stouthearted",D23,002,Steel,Promo,"$20.10","$20.10"
0,0,"Donald Duck - Musketeer",P1,13,Steel,Promo,"$54.37",
0,0,"Iago - Out of Reach",D23,008,Steel,Promo,"$66.42","$66.42"
0,0,"John Silver - Greedy Treasure Seeker",P1,029,Steel,Promo,"$1.71","$1.71"
0,0,"Maui - Demigod",P1,23,Steel,Promo,"$2.80","$2.80"
0,0,"Mickey Mouse - Musketeer",P1,11,Steel,Promo,"$62.46",
0,0,"Mickey Mouse - Playful Sorcerer",D23,007,Steel,Promo,"$98.14","$98.14"
0,0,"Robin Hood - Capable Fighter",P1,17,Steel,Promo,"$1.05","$1.05"
0,0,"Stitch - Team Underdog",P2,006,Steel,Promo,"$0.99","$0.99"
0,0,"Aurora - Waking Beauty",007,205,Amber,Enchanted,"$165.96","$165.96"
0,0,"Bolt - Superdog",007,207,Amber Steel,Enchanted,"$134.31","$134.31"
0,0,"Chernabog - Evildoer",003,205,Amber,Enchanted,"$88.55","$88.55"
0,0,"Chip 'n' Dale - Recovery Rangers",006,205,Amber,Enchanted,"$45.15","$45.15"
0,0,"Cinderella - Ballroom Sensation",002,205,Amber,Enchanted,"$266.00","$266.00"
0,0,"Cinderella - Melody Weaver",004,205,Amber,Enchanted,"$35.83","$35.83"
0,0,"Hades - King of Olympus",001,205,Amber,Enchanted,"$76.49","$76.49"
0,0,"It Means No Worries",008,208,Amber,Enchanted,"$146.16","$146.16"
0,0,"Kida - Protector of Atlantis",003,206,Amber,Enchanted,"$77.75","$77.75"
0,0,"Lady - Decisive Dog",008,205,Amber Emerald,Enchanted,"$111.89","$111.89"
0,0,"Look At This Family",004,207,Amber,Enchanted,"$24.62","$24.62"
0,0,"Minnie Mouse - Musketeer Champion",004,206,Amber,Enchanted,"$29.63","$29.63"
0,0,"Mirabel Madrigal - Musically Talented",007,206,Amber Amethyst,Enchanted,"$77.82","$77.82"
0,0,"Perdita - Determined Mother",008,207,Amber Sapphire,Enchanted,"$103.52","$103.52"
0,0,"Pride Lands - Pride Rock",003,207,Amber,Enchanted,"$33.92","$33.92"
0,0,"Prince Naveen - Ukulele Player",005,205,Amber,Enchanted,"$83.52","$83.52"
0,0,"Revive",005,207,Amber,Enchanted,"$28.39","$28.39"
0,0,"Snow White - Well Wisher",002,206,Amber,Enchanted,"$70.48","$70.48"
0,0,"Stitch - Carefree Surfer",001,206,Amber,Enchanted,"$219.36","$219.36"
0,0,"Sugar Rush Speedway - Finish Line",006,207,Amber,Enchanted,"$35.12","$35.12"
0,0,"The Glass Slipper",007,208,Amber,Enchanted,"$48.17","$48.17"
0,0,"Tiana - Restaurant Owner",006,206,Amber,Enchanted,"$67.71","$67.71"
0,0,"Vanellope von Schweetz - Sugar Rush Princess",005,206,Amber,Enchanted,"$33.98","$33.98"
0,0,"Wreck-It Ralph - Big Lug",008,206,Amber Ruby,Enchanted,"$48.23","$48.23"
0,0,"Archimedes - Electrified Owl",005,208,Amethyst,Enchanted,"$34.50","$34.50"
0,0,"Arthur - Wizard's Apprentice",002,207,Amethyst,Enchanted,"$41.23","$41.23"
0,0,"Bambi - Little Prince",008,209,Amethyst,Enchanted,"$94.67","$94.67"
0,0,"Donald Duck - Flustered Sorcerer",007,209,Amethyst,Enchanted,"$106.31","$106.31"
0,0,"Elsa - Spirit of Winter",001,207,Amethyst,Enchanted,"$829.84","$829.84"
0,0,"Fantastical and Magical",008,212,Amethyst,Enchanted,"$64.18","$64.18"
0,0,"Finders Keepers",005,210,Amethyst,Enchanted,"$86.56","$86.56"
0,0,"Into the Unknown",008,213,Amethyst Sapphire,Enchanted,"$263.20","$263.20"
0,0,"Jafar - High Sultan of Lorcana",P2,033,Amethyst Steel,Enchanted,,
0,0,"Jafar - Newly Crowned",007,210,Amethyst Steel,Enchanted,"$114.77","$114.77"
0,0,"Jafar - Striking Illusionist",003,208,Amethyst,Enchanted,"$109.03","$109.03"
0,0,"Kuzco - Impulsive Llama",008,210,Amethyst Emerald,Enchanted,"$74.18","$74.18"
0,0,"Madam Mim - Purple Dragon",002,208,Amethyst,Enchanted,"$42.72","$42.72"
0,0,"Maleficent - Mistress of All Evil",003,209,Amethyst,Enchanted,"$40.63","$40.63"
0,1,"Maleficent's Staff",006,210,Amethyst,Enchanted,"$44.83","$44.83"
0,0,"Mickey Mouse - Wayward Sorcerer",001,208,Amethyst,Enchanted,"$138.54","$138.54"
0,0,"Mother Gothel - Knows What's Best",008,211,Amethyst Ruby,Enchanted,"$66.43","$66.43"
0,0,"Olaf - Happy Passenger",005,209,Amethyst,Enchanted,"$41.51","$41.51"
0,0,"Rafiki - Ethereal Guide",006,208,Amethyst,Enchanted,"$37.24","$37.24"
0,0,"Second Star To The Right",004,210,Amethyst,Enchanted,"$26.94","$26.94"
0,0,"Show Me More!",007,211,Amethyst,Enchanted,"$74.28","$74.28"
0,0,"The Sorcerer's Hat",003,210,Amethyst,Enchanted,"$33.78","$33.78"
0,0,"Ursula - Sea Witch Queen",004,208,Amethyst,Enchanted,"$33.46","$33.46"
0,0,"Yen Sid - Powerful Sorcerer",004,209,Amethyst,Enchanted,"$49.41","$49.41"
0,0,"Yzma - Conniving Chemist",006,209,Amethyst,Enchanted,"$48.07","$48.07"
0,0,"Basil - Disguised Detective",006,212,Emerald,Enchanted,"$37.90","$37.90"
0,0,"Beast - Relentless",002,210,Emerald,Enchanted,"$50.46","$50.46"
0,0,"Captain Hook - The Pirate King",008,215,Emerald Steel,Enchanted,"$72.23","$72.23"
0,0,"Clarabelle - Light on Her Hooves",005,211,Emerald,Enchanted,"$78.44","$78.44"
0,0,"Daisy Duck - Pirate Captain",006,211,Emerald,Enchanted,"$40.25","$40.25"
0,0,"Diablo - Devoted Herald",004,211,Emerald,Enchanted,"$91.77","$91.77"
0,0,"Genie - On the Job",001,209,Emerald,Enchanted,"$102.34","$102.34"
0,0,"Hiro Hamada - Armor Designer",007,214,Emerald Sapphire,Enchanted,"$66.58","$66.58"
0,0,"Jasmine - Desert Warrior",004,212,Emerald,Enchanted,"$32.93","$32.93"
0,0,"Kuzco's Palace - Home of the Emperor",003,213,Emerald,Enchanted,"$25.24","$25.24"
0,0,"Mad Hatter - Unruly Eccentric",007,213,Emerald Ruby,Enchanted,"$66.83","$66.83"
0,0,"Mickey Mouse - Artful Rogue",001,210,Emerald,Enchanted,"$81.14","$81.14"
0,0,"Morph - Space Goo",003,211,Emerald,Enchanted,"$82.32","$82.32"
0,0,"Pete - Bad Guy",002,209,Emerald,Enchanted,"$36.89","$36.89"
0,0,"Rapunzel - High Climber",008,214,Emerald,Enchanted,"$160.83","$160.83"
